,Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class_1,Class_2
274,"tf.Tensor(0.27253324, shape=(), dtype=float32)","tf.Tensor(0.6638666, shape=(), dtype=float32)","tf.Tensor(0.44814518, shape=(), dtype=float32)","tf.Tensor(0.6432333, shape=(), dtype=float32)","tf.Tensor(0.49988493, shape=(), dtype=float32)","tf.Tensor(0.5209437, shape=(), dtype=float32)","tf.Tensor(0.46795303, shape=(), dtype=float32)","tf.Tensor(0.7216938, shape=(), dtype=float32)","tf.Tensor(0.63979596, shape=(), dtype=float32)","tf.Tensor(0.5666785, shape=(), dtype=float32)","tf.Tensor(0.52666175, shape=(), dtype=float32)","tf.Tensor(0.43042475, shape=(), dtype=float32)","tf.Tensor(0.5760666, shape=(), dtype=float32)","tf.Tensor(0.43970808, shape=(), dtype=float32)","tf.Tensor(0.33840325, shape=(), dtype=float32)","tf.Tensor(0.6735933, shape=(), dtype=float32)","tf.Tensor(0.43999177, shape=(), dtype=float32)","tf.Tensor(0.51431113, shape=(), dtype=float32)","tf.Tensor(0.4508494, shape=(), dtype=float32)","tf.Tensor(0.57427984, shape=(), dtype=float32)","tf.Tensor(0.23342305, shape=(), dtype=float32)","tf.Tensor(0.50971967, shape=(), dtype=float32)","tf.Tensor(0.51244634, shape=(), dtype=float32)","tf.Tensor(0.7425159, shape=(), dtype=float32)","tf.Tensor(0.68856037, shape=(), dtype=float32)","tf.Tensor(0.6947678, shape=(), dtype=float32)","tf.Tensor(0.21551175, shape=(), dtype=float32)","tf.Tensor(0.6706135, shape=(), dtype=float32)","tf.Tensor(0.7060825, shape=(), dtype=float32)","tf.Tensor(0.0314051, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
275,"tf.Tensor(0.74512076, shape=(), dtype=float32)","tf.Tensor(0.8784776, shape=(), dtype=float32)","tf.Tensor(0.21526675, shape=(), dtype=float32)","tf.Tensor(0.79246294, shape=(), dtype=float32)","tf.Tensor(0.43979698, shape=(), dtype=float32)","tf.Tensor(0.66539794, shape=(), dtype=float32)","tf.Tensor(0.5135066, shape=(), dtype=float32)","tf.Tensor(0.8517194, shape=(), dtype=float32)","tf.Tensor(0.71259576, shape=(), dtype=float32)","tf.Tensor(0.6521026, shape=(), dtype=float32)","tf.Tensor(0.6589353, shape=(), dtype=float32)","tf.Tensor(0.6382707, shape=(), dtype=float32)","tf.Tensor(0.69284266, shape=(), dtype=float32)","tf.Tensor(0.3831116, shape=(), dtype=float32)","tf.Tensor(0.2793623, shape=(), dtype=float32)","tf.Tensor(0.8174909, shape=(), dtype=float32)","tf.Tensor(0.58769965, shape=(), dtype=float32)","tf.Tensor(0.5858447, shape=(), dtype=float32)","tf.Tensor(0.69098985, shape=(), dtype=float32)","tf.Tensor(0.6832857, shape=(), dtype=float32)","tf.Tensor(0.16111812, shape=(), dtype=float32)","tf.Tensor(0.6069917, shape=(), dtype=float32)","tf.Tensor(0.56383324, shape=(), dtype=float32)","tf.Tensor(0.8632852, shape=(), dtype=float32)","tf.Tensor(0.4626428, shape=(), dtype=float32)","tf.Tensor(0.831053, shape=(), dtype=float32)","tf.Tensor(0.5032159, shape=(), dtype=float32)","tf.Tensor(0.8638337, shape=(), dtype=float32)","tf.Tensor(0.5908684, shape=(), dtype=float32)","tf.Tensor(0.114910886, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
276,"tf.Tensor(0.6426961, shape=(), dtype=float32)","tf.Tensor(0.7668942, shape=(), dtype=float32)","tf.Tensor(0.2832019, shape=(), dtype=float32)","tf.Tensor(0.674906, shape=(), dtype=float32)","tf.Tensor(0.33889088, shape=(), dtype=float32)","tf.Tensor(0.50260055, shape=(), dtype=float32)","tf.Tensor(0.5243603, shape=(), dtype=float32)","tf.Tensor(0.7487116, shape=(), dtype=float32)","tf.Tensor(0.60718316, shape=(), dtype=float32)","tf.Tensor(0.5893385, shape=(), dtype=float32)","tf.Tensor(0.6614807, shape=(), dtype=float32)","tf.Tensor(0.2813297, shape=(), dtype=float32)","tf.Tensor(0.74257934, shape=(), dtype=float32)","tf.Tensor(0.45031226, shape=(), dtype=float32)","tf.Tensor(0.45571175, shape=(), dtype=float32)","tf.Tensor(0.5335178, shape=(), dtype=float32)","tf.Tensor(0.5672902, shape=(), dtype=float32)","tf.Tensor(0.55225354, shape=(), dtype=float32)","tf.Tensor(0.54957753, shape=(), dtype=float32)","tf.Tensor(0.36285743, shape=(), dtype=float32)","tf.Tensor(0.24311808, shape=(), dtype=float32)","tf.Tensor(0.4053849, shape=(), dtype=float32)","tf.Tensor(0.5471124, shape=(), dtype=float32)","tf.Tensor(0.70373046, shape=(), dtype=float32)","tf.Tensor(0.49796733, shape=(), dtype=float32)","tf.Tensor(0.7325285, shape=(), dtype=float32)","tf.Tensor(0.42360446, shape=(), dtype=float32)","tf.Tensor(0.68079907, shape=(), dtype=float32)","tf.Tensor(0.48692587, shape=(), dtype=float32)","tf.Tensor(0.07382176, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
277,"tf.Tensor(0.30403438, shape=(), dtype=float32)","tf.Tensor(0.7999431, shape=(), dtype=float32)","tf.Tensor(0.6370205, shape=(), dtype=float32)","tf.Tensor(0.68415815, shape=(), dtype=float32)","tf.Tensor(0.8934404, shape=(), dtype=float32)","tf.Tensor(0.5611639, shape=(), dtype=float32)","tf.Tensor(0.2138769, shape=(), dtype=float32)","tf.Tensor(0.7422754, shape=(), dtype=float32)","tf.Tensor(0.79337716, shape=(), dtype=float32)","tf.Tensor(0.51347363, shape=(), dtype=float32)","tf.Tensor(0.47123197, shape=(), dtype=float32)","tf.Tensor(0.90788585, shape=(), dtype=float32)","tf.Tensor(0.060493797, shape=(), dtype=float32)","tf.Tensor(0.818756, shape=(), dtype=float32)","tf.Tensor(0.05542231, shape=(), dtype=float32)","tf.Tensor(0.83297235, shape=(), dtype=float32)","tf.Tensor(0.11986822, shape=(), dtype=float32)","tf.Tensor(0.10316694, shape=(), dtype=float32)","tf.Tensor(0.24375847, shape=(), dtype=float32)","tf.Tensor(0.8738112, shape=(), dtype=float32)","tf.Tensor(0.17705306, shape=(), dtype=float32)","tf.Tensor(0.6765476, shape=(), dtype=float32)","tf.Tensor(0.52517027, shape=(), dtype=float32)","tf.Tensor(0.8806826, shape=(), dtype=float32)","tf.Tensor(0.902921, shape=(), dtype=float32)","tf.Tensor(0.6916795, shape=(), dtype=float32)","tf.Tensor(0.3527623, shape=(), dtype=float32)","tf.Tensor(0.68337244, shape=(), dtype=float32)","tf.Tensor(0.5311859, shape=(), dtype=float32)","tf.Tensor(0.12394201, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
278,"tf.Tensor(0.77332497, shape=(), dtype=float32)","tf.Tensor(0.96293247, shape=(), dtype=float32)","tf.Tensor(0.26094145, shape=(), dtype=float32)","tf.Tensor(0.95450085, shape=(), dtype=float32)","tf.Tensor(0.29744765, shape=(), dtype=float32)","tf.Tensor(0.7474691, shape=(), dtype=float32)","tf.Tensor(0.71137774, shape=(), dtype=float32)","tf.Tensor(0.92283005, shape=(), dtype=float32)","tf.Tensor(0.72900337, shape=(), dtype=float32)","tf.Tensor(0.8179377, shape=(), dtype=float32)","tf.Tensor(0.85715395, shape=(), dtype=float32)","tf.Tensor(0.37097368, shape=(), dtype=float32)","tf.Tensor(0.91464233, shape=(), dtype=float32)","tf.Tensor(0.4316482, shape=(), dtype=float32)","tf.Tensor(0.6844226, shape=(), dtype=float32)","tf.Tensor(0.813241, shape=(), dtype=float32)","tf.Tensor(0.83596706, shape=(), dtype=float32)","tf.Tensor(0.8674005, shape=(), dtype=float32)","tf.Tensor(0.86719805, shape=(), dtype=float32)","tf.Tensor(0.31929782, shape=(), dtype=float32)","tf.Tensor(0.32835165, shape=(), dtype=float32)","tf.Tensor(0.5402628, shape=(), dtype=float32)","tf.Tensor(0.73309165, shape=(), dtype=float32)","tf.Tensor(0.8992204, shape=(), dtype=float32)","tf.Tensor(0.5235771, shape=(), dtype=float32)","tf.Tensor(0.882643, shape=(), dtype=float32)","tf.Tensor(0.53722894, shape=(), dtype=float32)","tf.Tensor(0.86016494, shape=(), dtype=float32)","tf.Tensor(0.7066604, shape=(), dtype=float32)","tf.Tensor(-0.002971426, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
279,"tf.Tensor(0.4995983, shape=(), dtype=float32)","tf.Tensor(0.68832934, shape=(), dtype=float32)","tf.Tensor(0.6716505, shape=(), dtype=float32)","tf.Tensor(0.65973365, shape=(), dtype=float32)","tf.Tensor(0.77808815, shape=(), dtype=float32)","tf.Tensor(0.6281503, shape=(), dtype=float32)","tf.Tensor(0.26547548, shape=(), dtype=float32)","tf.Tensor(0.6947102, shape=(), dtype=float32)","tf.Tensor(0.750361, shape=(), dtype=float32)","tf.Tensor(0.56576145, shape=(), dtype=float32)","tf.Tensor(0.38244978, shape=(), dtype=float32)","tf.Tensor(0.8104978, shape=(), dtype=float32)","tf.Tensor(0.08579502, shape=(), dtype=float32)","tf.Tensor(0.72169137, shape=(), dtype=float32)","tf.Tensor(0.005184323, shape=(), dtype=float32)","tf.Tensor(0.812377, shape=(), dtype=float32)","tf.Tensor(0.32839286, shape=(), dtype=float32)","tf.Tensor(0.12553996, shape=(), dtype=float32)","tf.Tensor(0.3352592, shape=(), dtype=float32)","tf.Tensor(0.8241841, shape=(), dtype=float32)","tf.Tensor(0.18461433, shape=(), dtype=float32)","tf.Tensor(0.56487787, shape=(), dtype=float32)","tf.Tensor(0.48746103, shape=(), dtype=float32)","tf.Tensor(0.8363774, shape=(), dtype=float32)","tf.Tensor(0.8164483, shape=(), dtype=float32)","tf.Tensor(0.751695, shape=(), dtype=float32)","tf.Tensor(0.32221624, shape=(), dtype=float32)","tf.Tensor(0.7487888, shape=(), dtype=float32)","tf.Tensor(0.7066109, shape=(), dtype=float32)","tf.Tensor(-0.020036714, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
280,"tf.Tensor(0.340516, shape=(), dtype=float32)","tf.Tensor(0.8422548, shape=(), dtype=float32)","tf.Tensor(0.3636768, shape=(), dtype=float32)","tf.Tensor(0.76260316, shape=(), dtype=float32)","tf.Tensor(0.43052274, shape=(), dtype=float32)","tf.Tensor(0.60256994, shape=(), dtype=float32)","tf.Tensor(0.5068443, shape=(), dtype=float32)","tf.Tensor(0.7920818, shape=(), dtype=float32)","tf.Tensor(0.69984996, shape=(), dtype=float32)","tf.Tensor(0.63907987, shape=(), dtype=float32)","tf.Tensor(0.66728604, shape=(), dtype=float32)","tf.Tensor(0.43959808, shape=(), dtype=float32)","tf.Tensor(0.67930883, shape=(), dtype=float32)","tf.Tensor(0.4565416, shape=(), dtype=float32)","tf.Tensor(0.3759819, shape=(), dtype=float32)","tf.Tensor(0.8003809, shape=(), dtype=float32)","tf.Tensor(0.49798772, shape=(), dtype=float32)","tf.Tensor(0.5551442, shape=(), dtype=float32)","tf.Tensor(0.5688231, shape=(), dtype=float32)","tf.Tensor(0.5797618, shape=(), dtype=float32)","tf.Tensor(0.1612205, shape=(), dtype=float32)","tf.Tensor(0.50891095, shape=(), dtype=float32)","tf.Tensor(0.44105253, shape=(), dtype=float32)","tf.Tensor(0.76307076, shape=(), dtype=float32)","tf.Tensor(0.73802567, shape=(), dtype=float32)","tf.Tensor(0.71703136, shape=(), dtype=float32)","tf.Tensor(0.4072315, shape=(), dtype=float32)","tf.Tensor(0.71142, shape=(), dtype=float32)","tf.Tensor(0.6576634, shape=(), dtype=float32)","tf.Tensor(-0.017849205, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
281,"tf.Tensor(0.21482036, shape=(), dtype=float32)","tf.Tensor(0.3409944, shape=(), dtype=float32)","tf.Tensor(0.7076879, shape=(), dtype=float32)","tf.Tensor(0.38732383, shape=(), dtype=float32)","tf.Tensor(0.674804, shape=(), dtype=float32)","tf.Tensor(0.4755885, shape=(), dtype=float32)","tf.Tensor(0.27957314, shape=(), dtype=float32)","tf.Tensor(0.6397916, shape=(), dtype=float32)","tf.Tensor(0.7551134, shape=(), dtype=float32)","tf.Tensor(0.5853902, shape=(), dtype=float32)","tf.Tensor(0.48719707, shape=(), dtype=float32)","tf.Tensor(0.70313287, shape=(), dtype=float32)","tf.Tensor(0.41943637, shape=(), dtype=float32)","tf.Tensor(0.70716566, shape=(), dtype=float32)","tf.Tensor(0.26663822, shape=(), dtype=float32)","tf.Tensor(0.5969538, shape=(), dtype=float32)","tf.Tensor(0.3936979, shape=(), dtype=float32)","tf.Tensor(0.36661416, shape=(), dtype=float32)","tf.Tensor(0.31570885, shape=(), dtype=float32)","tf.Tensor(0.6174825, shape=(), dtype=float32)","tf.Tensor(0.24752446, shape=(), dtype=float32)","tf.Tensor(0.5734289, shape=(), dtype=float32)","tf.Tensor(0.44463354, shape=(), dtype=float32)","tf.Tensor(0.66733474, shape=(), dtype=float32)","tf.Tensor(0.6779209, shape=(), dtype=float32)","tf.Tensor(0.7803612, shape=(), dtype=float32)","tf.Tensor(0.47966713, shape=(), dtype=float32)","tf.Tensor(0.8281806, shape=(), dtype=float32)","tf.Tensor(0.58862424, shape=(), dtype=float32)","tf.Tensor(0.007928918, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
282,"tf.Tensor(0.51679456, shape=(), dtype=float32)","tf.Tensor(0.8202922, shape=(), dtype=float32)","tf.Tensor(0.3013428, shape=(), dtype=float32)","tf.Tensor(0.77344936, shape=(), dtype=float32)","tf.Tensor(0.27838036, shape=(), dtype=float32)","tf.Tensor(0.5501052, shape=(), dtype=float32)","tf.Tensor(0.5256178, shape=(), dtype=float32)","tf.Tensor(0.80312014, shape=(), dtype=float32)","tf.Tensor(0.7024448, shape=(), dtype=float32)","tf.Tensor(0.67201424, shape=(), dtype=float32)","tf.Tensor(0.6941417, shape=(), dtype=float32)","tf.Tensor(0.14008126, shape=(), dtype=float32)","tf.Tensor(0.7945563, shape=(), dtype=float32)","tf.Tensor(0.4594625, shape=(), dtype=float32)","tf.Tensor(0.5412512, shape=(), dtype=float32)","tf.Tensor(0.62855154, shape=(), dtype=float32)","tf.Tensor(0.61170787, shape=(), dtype=float32)","tf.Tensor(0.52855116, shape=(), dtype=float32)","tf.Tensor(0.49434662, shape=(), dtype=float32)","tf.Tensor(0.50879467, shape=(), dtype=float32)","tf.Tensor(0.24061802, shape=(), dtype=float32)","tf.Tensor(0.46216345, shape=(), dtype=float32)","tf.Tensor(0.5138032, shape=(), dtype=float32)","tf.Tensor(0.7328781, shape=(), dtype=float32)","tf.Tensor(0.7573694, shape=(), dtype=float32)","tf.Tensor(0.74790436, shape=(), dtype=float32)","tf.Tensor(0.35162753, shape=(), dtype=float32)","tf.Tensor(0.6637178, shape=(), dtype=float32)","tf.Tensor(0.60193837, shape=(), dtype=float32)","tf.Tensor(0.12862067, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
283,"tf.Tensor(0.40326974, shape=(), dtype=float32)","tf.Tensor(0.43795535, shape=(), dtype=float32)","tf.Tensor(0.6970283, shape=(), dtype=float32)","tf.Tensor(0.5337885, shape=(), dtype=float32)","tf.Tensor(0.7392703, shape=(), dtype=float32)","tf.Tensor(0.48411292, shape=(), dtype=float32)","tf.Tensor(0.35654578, shape=(), dtype=float32)","tf.Tensor(0.66467005, shape=(), dtype=float32)","tf.Tensor(0.84856665, shape=(), dtype=float32)","tf.Tensor(0.4337124, shape=(), dtype=float32)","tf.Tensor(0.52203625, shape=(), dtype=float32)","tf.Tensor(0.61459094, shape=(), dtype=float32)","tf.Tensor(0.5020977, shape=(), dtype=float32)","tf.Tensor(0.73452747, shape=(), dtype=float32)","tf.Tensor(0.52492267, shape=(), dtype=float32)","tf.Tensor(0.63368684, shape=(), dtype=float32)","tf.Tensor(0.44004235, shape=(), dtype=float32)","tf.Tensor(0.22400722, shape=(), dtype=float32)","tf.Tensor(0.24741636, shape=(), dtype=float32)","tf.Tensor(0.6225657, shape=(), dtype=float32)","tf.Tensor(0.30191147, shape=(), dtype=float32)","tf.Tensor(0.50716186, shape=(), dtype=float32)","tf.Tensor(0.58428514, shape=(), dtype=float32)","tf.Tensor(0.61095136, shape=(), dtype=float32)","tf.Tensor(0.89552563, shape=(), dtype=float32)","tf.Tensor(0.8028743, shape=(), dtype=float32)","tf.Tensor(0.30997488, shape=(), dtype=float32)","tf.Tensor(0.6554497, shape=(), dtype=float32)","tf.Tensor(0.5347211, shape=(), dtype=float32)","tf.Tensor(0.11569398, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
284,"tf.Tensor(0.6940743, shape=(), dtype=float32)","tf.Tensor(0.989034, shape=(), dtype=float32)","tf.Tensor(0.3509852, shape=(), dtype=float32)","tf.Tensor(0.97380084, shape=(), dtype=float32)","tf.Tensor(0.28084219, shape=(), dtype=float32)","tf.Tensor(0.77546114, shape=(), dtype=float32)","tf.Tensor(0.7069346, shape=(), dtype=float32)","tf.Tensor(0.9425025, shape=(), dtype=float32)","tf.Tensor(0.7241216, shape=(), dtype=float32)","tf.Tensor(0.9042706, shape=(), dtype=float32)","tf.Tensor(0.906104, shape=(), dtype=float32)","tf.Tensor(0.24364376, shape=(), dtype=float32)","tf.Tensor(0.95618635, shape=(), dtype=float32)","tf.Tensor(0.1844746, shape=(), dtype=float32)","tf.Tensor(0.7567826, shape=(), dtype=float32)","tf.Tensor(0.85133857, shape=(), dtype=float32)","tf.Tensor(0.917759, shape=(), dtype=float32)","tf.Tensor(0.95720077, shape=(), dtype=float32)","tf.Tensor(0.9038673, shape=(), dtype=float32)","tf.Tensor(0.28932118, shape=(), dtype=float32)","tf.Tensor(0.23555094, shape=(), dtype=float32)","tf.Tensor(0.5211733, shape=(), dtype=float32)","tf.Tensor(0.61899585, shape=(), dtype=float32)","tf.Tensor(0.9084103, shape=(), dtype=float32)","tf.Tensor(0.82837725, shape=(), dtype=float32)","tf.Tensor(0.833446, shape=(), dtype=float32)","tf.Tensor(0.49030128, shape=(), dtype=float32)","tf.Tensor(0.7733332, shape=(), dtype=float32)","tf.Tensor(0.82805914, shape=(), dtype=float32)","tf.Tensor(-0.047009345, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
285,"tf.Tensor(0.8233515, shape=(), dtype=float32)","tf.Tensor(0.9706362, shape=(), dtype=float32)","tf.Tensor(0.4650712, shape=(), dtype=float32)","tf.Tensor(0.9494144, shape=(), dtype=float32)","tf.Tensor(0.48099637, shape=(), dtype=float32)","tf.Tensor(0.8002771, shape=(), dtype=float32)","tf.Tensor(0.6597621, shape=(), dtype=float32)","tf.Tensor(0.94602245, shape=(), dtype=float32)","tf.Tensor(0.8104557, shape=(), dtype=float32)","tf.Tensor(0.85217935, shape=(), dtype=float32)","tf.Tensor(0.8729821, shape=(), dtype=float32)","tf.Tensor(0.5138136, shape=(), dtype=float32)","tf.Tensor(0.93973505, shape=(), dtype=float32)","tf.Tensor(0.62936974, shape=(), dtype=float32)","tf.Tensor(0.43807727, shape=(), dtype=float32)","tf.Tensor(0.7759583, shape=(), dtype=float32)","tf.Tensor(0.884276, shape=(), dtype=float32)","tf.Tensor(0.92529374, shape=(), dtype=float32)","tf.Tensor(0.86600584, shape=(), dtype=float32)","tf.Tensor(0.3304525, shape=(), dtype=float32)","tf.Tensor(0.3350063, shape=(), dtype=float32)","tf.Tensor(0.6019912, shape=(), dtype=float32)","tf.Tensor(0.5779189, shape=(), dtype=float32)","tf.Tensor(0.8448451, shape=(), dtype=float32)","tf.Tensor(0.69527465, shape=(), dtype=float32)","tf.Tensor(0.86637175, shape=(), dtype=float32)","tf.Tensor(0.6225657, shape=(), dtype=float32)","tf.Tensor(0.94273967, shape=(), dtype=float32)","tf.Tensor(0.826653, shape=(), dtype=float32)","tf.Tensor(-0.33583602, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
286,"tf.Tensor(0.8025919, shape=(), dtype=float32)","tf.Tensor(0.8854747, shape=(), dtype=float32)","tf.Tensor(0.60633487, shape=(), dtype=float32)","tf.Tensor(0.7975418, shape=(), dtype=float32)","tf.Tensor(0.60023516, shape=(), dtype=float32)","tf.Tensor(0.722568, shape=(), dtype=float32)","tf.Tensor(0.53300416, shape=(), dtype=float32)","tf.Tensor(0.8301599, shape=(), dtype=float32)","tf.Tensor(0.82789433, shape=(), dtype=float32)","tf.Tensor(0.72807795, shape=(), dtype=float32)","tf.Tensor(0.7525817, shape=(), dtype=float32)","tf.Tensor(0.6460889, shape=(), dtype=float32)","tf.Tensor(0.8500889, shape=(), dtype=float32)","tf.Tensor(0.50848764, shape=(), dtype=float32)","tf.Tensor(0.41010013, shape=(), dtype=float32)","tf.Tensor(0.7628101, shape=(), dtype=float32)","tf.Tensor(0.77869046, shape=(), dtype=float32)","tf.Tensor(0.8212628, shape=(), dtype=float32)","tf.Tensor(0.7600563, shape=(), dtype=float32)","tf.Tensor(0.42485288, shape=(), dtype=float32)","tf.Tensor(0.41655207, shape=(), dtype=float32)","tf.Tensor(0.6472549, shape=(), dtype=float32)","tf.Tensor(0.42594135, shape=(), dtype=float32)","tf.Tensor(0.7516009, shape=(), dtype=float32)","tf.Tensor(0.5430336, shape=(), dtype=float32)","tf.Tensor(0.88686305, shape=(), dtype=float32)","tf.Tensor(0.6114552, shape=(), dtype=float32)","tf.Tensor(0.93248373, shape=(), dtype=float32)","tf.Tensor(0.79065907, shape=(), dtype=float32)","tf.Tensor(-0.13226037, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
287,"tf.Tensor(0.83998865, shape=(), dtype=float32)","tf.Tensor(0.9541646, shape=(), dtype=float32)","tf.Tensor(0.25522178, shape=(), dtype=float32)","tf.Tensor(0.92536885, shape=(), dtype=float32)","tf.Tensor(0.46792287, shape=(), dtype=float32)","tf.Tensor(0.7117275, shape=(), dtype=float32)","tf.Tensor(0.5657573, shape=(), dtype=float32)","tf.Tensor(0.9127267, shape=(), dtype=float32)","tf.Tensor(0.74959856, shape=(), dtype=float32)","tf.Tensor(0.7801854, shape=(), dtype=float32)","tf.Tensor(0.86332816, shape=(), dtype=float32)","tf.Tensor(0.42819303, shape=(), dtype=float32)","tf.Tensor(0.9258911, shape=(), dtype=float32)","tf.Tensor(0.47875842, shape=(), dtype=float32)","tf.Tensor(0.6149935, shape=(), dtype=float32)","tf.Tensor(0.6785413, shape=(), dtype=float32)","tf.Tensor(0.8040556, shape=(), dtype=float32)","tf.Tensor(0.8771548, shape=(), dtype=float32)","tf.Tensor(0.8110655, shape=(), dtype=float32)","tf.Tensor(0.4141378, shape=(), dtype=float32)","tf.Tensor(0.36235744, shape=(), dtype=float32)","tf.Tensor(0.56014705, shape=(), dtype=float32)","tf.Tensor(0.5990728, shape=(), dtype=float32)","tf.Tensor(0.82248545, shape=(), dtype=float32)","tf.Tensor(0.5339303, shape=(), dtype=float32)","tf.Tensor(0.77775717, shape=(), dtype=float32)","tf.Tensor(0.49448127, shape=(), dtype=float32)","tf.Tensor(0.8430138, shape=(), dtype=float32)","tf.Tensor(0.5588185, shape=(), dtype=float32)","tf.Tensor(0.12693022, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)"
288,"tf.Tensor(0.16251498, shape=(), dtype=float32)","tf.Tensor(0.65189284, shape=(), dtype=float32)","tf.Tensor(0.6203462, shape=(), dtype=float32)","tf.Tensor(0.595992, shape=(), dtype=float32)","tf.Tensor(0.89466745, shape=(), dtype=float32)","tf.Tensor(0.40596437, shape=(), dtype=float32)","tf.Tensor(0.061658744, shape=(), dtype=float32)","tf.Tensor(0.67189276, shape=(), dtype=float32)","tf.Tensor(0.776903, shape=(), dtype=float32)","tf.Tensor(0.45407727, shape=(), dtype=float32)","tf.Tensor(0.39887384, shape=(), dtype=float32)","tf.Tensor(0.88403195, shape=(), dtype=float32)","tf.Tensor(-0.05487056, shape=(), dtype=float32)","tf.Tensor(0.6729574, shape=(), dtype=float32)","tf.Tensor(0.01423091, shape=(), dtype=float32)","tf.Tensor(0.67307276, shape=(), dtype=float32)","tf.Tensor(0.18019712, shape=(), dtype=float32)","tf.Tensor(0.21933533, shape=(), dtype=float32)","tf.Tensor(0.37628925, shape=(), dtype=float32)","tf.Tensor(0.80511963, shape=(), dtype=float32)","tf.Tensor(0.12718436, shape=(), dtype=float32)","tf.Tensor(0.6474151, shape=(), dtype=float32)","tf.Tensor(0.51613617, shape=(), dtype=float32)","tf.Tensor(0.84646016, shape=(), dtype=float32)","tf.Tensor(0.7965046, shape=(), dtype=float32)","tf.Tensor(0.71218526, shape=(), dtype=float32)","tf.Tensor(0.43094054, shape=(), dtype=float32)","tf.Tensor(0.75598544, shape=(), dtype=float32)","tf.Tensor(0.535323, shape=(), dtype=float32)","tf.Tensor(-0.0046685757, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
289,"tf.Tensor(0.48256272, shape=(), dtype=float32)","tf.Tensor(0.52832776, shape=(), dtype=float32)","tf.Tensor(0.8211795, shape=(), dtype=float32)","tf.Tensor(0.21290372, shape=(), dtype=float32)","tf.Tensor(0.9583058, shape=(), dtype=float32)","tf.Tensor(0.31070578, shape=(), dtype=float32)","tf.Tensor(0.06726036, shape=(), dtype=float32)","tf.Tensor(0.7549278, shape=(), dtype=float32)","tf.Tensor(0.9066344, shape=(), dtype=float32)","tf.Tensor(0.48410106, shape=(), dtype=float32)","tf.Tensor(0.4381038, shape=(), dtype=float32)","tf.Tensor(0.9475184, shape=(), dtype=float32)","tf.Tensor(0.07113806, shape=(), dtype=float32)","tf.Tensor(0.78589636, shape=(), dtype=float32)","tf.Tensor(0.05183524, shape=(), dtype=float32)","tf.Tensor(0.7346933, shape=(), dtype=float32)","tf.Tensor(0.42997584, shape=(), dtype=float32)","tf.Tensor(0.4056406, shape=(), dtype=float32)","tf.Tensor(0.5530758, shape=(), dtype=float32)","tf.Tensor(0.5004482, shape=(), dtype=float32)","tf.Tensor(0.19878516, shape=(), dtype=float32)","tf.Tensor(0.6046274, shape=(), dtype=float32)","tf.Tensor(0.60826117, shape=(), dtype=float32)","tf.Tensor(0.86112386, shape=(), dtype=float32)","tf.Tensor(0.31857622, shape=(), dtype=float32)","tf.Tensor(0.93326, shape=(), dtype=float32)","tf.Tensor(0.7096687, shape=(), dtype=float32)","tf.Tensor(0.9588961, shape=(), dtype=float32)","tf.Tensor(0.24822463, shape=(), dtype=float32)","tf.Tensor(0.0004651378, shape=(), dtype=float32)","tf.Tensor(1.0, shape=(), dtype=float32)","tf.Tensor(0.0, shape=(), dtype=float32)"
